name;stable_occurrence
ligand553-0;JOLBIX-subgraph-0
ligand554-0;EPIMEW-subgraph-1
ligand555-0;MEGKAM-subgraph-0
ligand556-0;QOVSAV-subgraph-2
ligand557-0;QOVSAV-subgraph-3
ligand558-0;GAKJEK-subgraph-5
ligand559-0;AQAWEX-subgraph-2
ligand560-0;IJEWOM-subgraph-2
ligand561-0;XEFVOT-subgraph-1
ligand562-0;LAHGEG-subgraph-2
ligand563-0;YAQGII-subgraph-0
ligand564-0;VUPYAJ-subgraph-3
ligand565-0;DIGROD-subgraph-3
ligand566-0;DAGPUW-subgraph-0
ligand567-0;AWEVIH-subgraph-3
ligand568-0;JEWQAE-subgraph-0
ligand569-0;LABYUK-subgraph-2
ligand570-0;LOPJEF-subgraph-0
ligand571-0;MAQJOF-subgraph-2
ligand572-0;TAHBOW-subgraph-1
ligand573-0;BOLMIY-subgraph-3
ligand574-0;CBTYCO-subgraph-2
ligand575-0;AMIWUR-subgraph-1
ligand576-0;UNIDAX-subgraph-0
ligand577-0;IGIKOZ-subgraph-2
ligand578-0;ACUSAT-subgraph-4
ligand579-0;UCUPOX-subgraph-2
ligand580-0;XADVEE-subgraph-2
ligand581-0;ABICAQ-subgraph-1
ligand582-0;GATGEQ-subgraph-2
ligand583-0;TUWLIJ-subgraph-2
ligand584-0;GEVLIC-subgraph-4
ligand585-0;TUYNOQ-subgraph-2
ligand586-0;WEHFOE-subgraph-0
ligand587-0;RUVFIX-subgraph-0
ligand588-0;COJROJ-subgraph-0
ligand589-0;OYATAM-subgraph-2
ligand590-0;PYROCO-subgraph-0
ligand591-0;EWOTIW-subgraph-2
ligand592-0;XIYLEY-subgraph-1
ligand593-0;HOCHIR-subgraph-2
ligand594-0;LEKZOR-subgraph-0
ligand595-0;YAVGIN-subgraph-1
ligand596-0;PABYID-subgraph-3
ligand597-0;POZRIF-subgraph-5
ligand598-0;MOHTOU-subgraph-2
ligand599-0;YIVTOO-subgraph-2
ligand600-0;NEXTAO-subgraph-1
ligand601-0;ELEVID-subgraph-3
ligand602-0;DIWDET-subgraph-3
ligand603-0;POWXUU-subgraph-3
ligand604-0;ZEPLAK-subgraph-1
ligand605-0;HISNOM-subgraph-0
ligand606-0;TUCGEE-subgraph-0
ligand607-0;WUGDIO-subgraph-1
ligand608-0;ADESAG-subgraph-0
ligand609-0;IJEDEJ-subgraph-0
ligand610-0;AKOBIM-subgraph-3
ligand611-0;ZUKFUI-subgraph-1
ligand612-0;XAHZEN-subgraph-1
ligand613-0;ODITIH-subgraph-0
ligand614-0;TAFGEO-subgraph-1
ligand615-0;FUYWAY-subgraph-2
ligand616-0;MIXTEU-subgraph-0
ligand617-0;FEXLUS-subgraph-1
