ligand_name;smiles;logp;n_aliphatic_rings;n_aromatic_rings;n_saturated_rings;n_rotatable_bonds
ligand158-0;[Cl][c]1[cH][cH][c]([n]2[cH][cH][c]([c]3[cH][cH][cH][cH][cH]3)[n]2)[n][n]1;3.055300000000001;0;3;0;2
ligand159-0;[CH3][Si]([CH3])[P]([c]1[cH][cH][cH][cH][cH]1)[c]1[cH][cH][cH][cH][cH]1;3.370400000000002;0;2;0;3
ligand160-0;[NH][c]1[cH][cH][cH][cH][c]1[S];2.1573999999999995;0;1;0;0
ligand161-0;[O]/[C](=[CH]\[C](=[O])[C]([F])([F])[F])[C]([F])([F])[F];1.9944999999999995;0;0;0;1
ligand162-0;[CH3][N]([CH3])[CH2][C]1=[C][CH]=[CH][CH]=[CH]1;1.40359;1;0;0;2
ligand163-0;[CH]1[CH][CH2][CH2][CH2][CH2][CH2][CH2]1;2.749180000000001;1;0;1;0
ligand164-0;[NH2][CH2][CH2][P](=[O])([c]1[cH][cH][cH][cH][cH]1)[c]1[cH][cH][cH][cH][cH]1;1.9592;0;2;0;4
ligand165-0;[CH3][P]([CH][P]([CH3])([c]1[cH][cH][cH][cH][cH]1)[c]1[cH][cH][cH][cH][cH]1)([c]1[cH][cH][cH][cH][cH]1)[c]1[cH][cH][cH][cH][cH]1;5.702490000000006;0;4;0;6
ligand166-0;[cH]1[cH][cH][c]2[n][cH][cH][cH][c]2[cH]1;2.2348;0;2;0;0
ligand167-0;[cH]1[cH][cH][c]([S][c]2[cH][cH][cH][c]3[cH][cH][cH][c]([P]([c]4[cH][cH][cH][cH][cH]4)[c]4[cH][cH][cH][cH][cH]4)[c]23)[cH][cH]1;6.749200000000007;0;5;0;5
ligand168-0;[CH2]=[C]1[CH2][O][C][N]1[c]1[cH][cH][cH][cH][cH]1;2.0331900000000003;1;1;1;1
ligand169-0;[CH3][CH]([CH3])[O];0.8252999999999999;0;0;0;0
ligand170-0;[CH3][N]([CH3])[CH2][C]1=[C][C]([CH2][N]([CH3])[CH3])=[CH][CH]=[CH]1;1.33539;1;0;0;4
ligand171-0;[NH2][C]1[N]=[C]([N][c]2[n][cH][cH][s]2)[c]2[cH][cH][cH][cH][c]21;1.63569;1;2;0;1
ligand172-0;[O][C](=[O])[c]1[cH][cH][c]2[cH][cH][cH][cH][c]2[n]1;1.8054999999999997;0;2;0;1
ligand173-0;[CH3][O][C](=[O])[CH2][C@H]([CH2][CH2][P]([c]1[cH][cH][cH][cH][cH]1)[c]1[cH][cH][cH][cH][cH]1)[P]([c]1[cH][cH][cH][cH][cH]1)[c]1[cH][cH][cH][cH][cH]1;5.574000000000006;0;4;0;10
ligand174-0;[CH3][CH2][CH2][CH2][n]1[cH][n][c]2[cH][cH][cH][cH][c]21;2.836400000000001;0;2;0;3
ligand175-0;[cH]1[cH][cH][c]([N][P]([c]2[cH][cH][cH][cH][cH]2)([c]2[cH][cH][cH][cH][cH]2)[c]2[cH][cH][cH][cH][cH]2)[cH][cH]1;4.8316000000000034;0;4;0;5
ligand176-0;[CH3][O][c]1[cH][cH][c](/[CH]=[N]/[c]2[n][cH][cH][cH][c]2[O])[c]([O])[cH]1;3.128400000000002;0;2;0;3
ligand177-0;[CH3][c]1[cH][cH][n][cH][cH]1;1.39002;0;1;0;0
ligand178-0;[C]#[N][c]1[c]([CH3])[cH][cH][cH][c]1[CH3];2.580610000000001;0;1;0;0
ligand179-0;[CH2][C](=[O])[c]1[cH][cH][cH][c]([C]([CH3])([O][CH3])[O][CH3])[n]1;1.56389;0;1;0;4
ligand180-0;[CH3][N]1[C][N]([CH2][CH2][CH2][CH2][CH2][CH2][CH2][CH2][N]2[C][N]([CH3])[CH]=[CH]2)[CH]=[CH]1;2.756780000000001;2;0;0;9
ligand181-0;[CH]1[CH][CH2][CH]([P]([CH]2[CH2][CH2][CH2][CH2]2)[CH]2[CH2][CH2][CH2][CH2]2)[CH2]1;4.924480000000004;3;0;3;3
ligand181-1;[CH]1[CH][CH2][CH]([P]([CH]2[CH2][CH2][CH2][CH2]2)[CH]2[CH2][CH2][CH2][CH2]2)[CH2]1;4.924480000000004;3;0;3;3
