occurrence;energy;dipole_moment;homo_lumo_gap;metal_bound_homo_energy;metal_bound_homo_s;metal_bound_homo_p;metal_bound_homo_d;metal_bound_homo_f;metal_bound_lumo_energy;metal_bound_lumo_s;metal_bound_lumo_p;metal_bound_lumo_d;metal_bound_lumo_f;polarisability;molar_volume;largest_frequency;I1/I3;I2/I3
TUXHOM-subgraph-1;-1211.99851999;1.975;0.128;0.052;0.0;0.982652091254753;0.01734790874524715;0.0;0.18;0.0;0.9354072153812919;0.06459278461870814;0.0;371.89;4054.058;3143.7978;;
XALGAS-subgraph-3;-194.867668787;7.8873;0.098;0.227;0.1827600497306258;0.7647119767923747;0.052527973476999584;0.0;0.325;0.9182152338166225;0.0817847661833776;0.0;0.0;97.92;1174.312;2894.1364;0.3324516422759469;0.7187824064887028
OFAVIA-subgraph-4;-194.867663389;7.8889;0.098;0.227;0.18263752201388173;0.7648399461307366;0.05252253185538175;0.0;0.325;0.9182923092636095;0.08170769073639056;0.0;0.0;97.93;887.942;2894.4024;0.33245923137619693;0.7188072777211358
ROYCEP-subgraph-1;-644.223058974;5.5734;0.164;-0.025;0.355893377759267;0.6309870887130362;0.013119533527696793;0.0;0.139;0.0;0.9376732724098984;0.06232672759010166;0.0;59.26;972.289;1588.5328;0.3670597540271941;0.6329402628679988
MAPKOD-subgraph-0;-644.223060425;5.5735;0.164;-0.025;0.355893377759267;0.6309870887130362;0.013119533527696793;0.0;0.139;0.0;0.9376668720476484;0.062333127952351616;0.0;59.26;694.448;1588.5327;0.3670581000864853;0.6329418999135147
LAFZIC-subgraph-0;-1422.89129155;1.8019;0.205;-0.214;0.22999791100898268;0.7161061207436809;0.05389596824733655;0.0;0.039;0.9979108635097492;0.0020891364902506956;0.0;0.0;316.85;4522.996;3129.989;;
LOCMEV-subgraph-2;-716.255870137;6.7134;0.107;-0.02;0.0;0.9733418639368735;0.026658136063126465;0.0;0.142;0.04482609634910347;0.9048390581119032;0.050334845538993304;0.0;191.4;2333.427;3126.2472;0.21867981644061923;0.9139093934169672
LOCMEV-subgraph-3;-716.255870237;6.7132;0.107;-0.02;0.0;0.9733418639368735;0.026658136063126465;0.0;0.142;0.044718081659105645;0.9049470728019011;0.050334845538993304;0.0;191.4;1956.355;3126.2426;0.21869295829487204;0.9139684543237743
YADMAT-subgraph-0;-1007.67521009;1.7115;0.10400000000000001;0.062;0.0;0.9874052608114133;0.012594739188586713;0.0;0.166;0.0;0.9635044401126273;0.036495559887372755;0.0;319.06;2885.987;3120.2834;;
YEDHEV-subgraph-1;-168.861146388;2.5519;0.241;-0.079;0.0;0.9780724120346762;0.021927587965323812;0.0;0.162;0.0;0.9470635237714742;0.052936476228525764;0.0;36.94;485.155;2219.0039;0.0;1.0
