name;exact_cone_angle;buried_volume;solid_angle;solid_cone_angle;G_parameter;sasa_area_stable;sasa_volume_stable;sasa_area_free;sasa_volume_free
ligand28568-0;191.12750679302525;0.35699310473350726;4.551134224570157;147.99676515656913;36.21677542575203;469.49977293336485;731.5601761440554;469.88960280357367;732.2040778534616
ligand28569-0;213.99521172392826;0.43328946142377933;5.840172241592994;171.91370111245584;46.474614037879995;469.4925495058433;774.9715170022836;466.04276260365157;770.466746115317
ligand28570-0;159.07149353321114;0.18592759970182632;5.140151596196574;159.03683354181175;40.90402673881904;307.94197198566866;435.02606913110037;307.13191153749193;434.1457912086331
ligand28571-0;281.17338157285565;0.623043235184495;9.451278742345101;240.5588746444974;75.21088651917874;603.7538844931955;976.1033931820476;646.1515109831364;1016.5406759255878
ligand28572-0;165.10343278341972;0.24894008572493478;3.275096590961825;122.7921257060064;26.062390577749483;398.52232973638615;606.202668053255;397.09237755808755;604.611161046264
ligand28573-0;176.35848425960086;0.29854640327991055;3.9881176197727504;137.15143189131265;31.73643164093586;333.44913964608776;486.07832108116554;328.97910197746364;480.1357203771416
ligand28574-0;197.71098719845355;0.42737257733879985;5.477161535480279;165.25926901136052;43.585866624224096;558.912385112765;929.6804128436892;556.5725393319947;927.2286431294614
ligand28575-0;211.5834542260107;0.3566844483786806;4.490132425471326;146.83768083194772;35.73133853254814;476.8518138039771;720.9166314240804;477.28165819876807;721.1261675479551
ligand28576-0;180.07691677470925;0.3099608647036899;4.631136584044033;149.5118171180651;36.85341397421614;320.6747945313748;472.13996311355413;328.70448138015155;480.76325312718984
ligand28577-0;181.5843255848002;0.3043759317927693;4.46513168813574;146.36164324926554;35.532388986153116;323.188819465659;462.2894624539657;;
ligand28578-0;121.79810768988847;0.1882570816250466;2.743080900460545;111.41400033221096;21.828744230463155;291.7382481068176;412.15526841634056;292.7283251643889;413.40968150636184
ligand28579-0;192.76651764707134;0.4150146757361163;5.348157730828653;162.88356501967306;42.55928696482572;530.6015769526385;869.8850750260742;534.1620226837413;871.1694803174738
ligand28580-0;229.25343734721505;0.5402883898620947;7.175211615313311;196.32376133806713;57.09851981537483;714.2940151953824;1245.594969036667;734.3840512988816;1266.3770502865766
ligand28581-0;214.58478284395855;0.359607948192322;4.921145137136837;154.96058299216227;39.16122871239854;491.2004615148062;755.2440519708372;;
ligand28582-0;199.60531354908662;0.46053857622064853;5.849172507033805;172.07824751522375;46.54623587458221;748.5051212639179;1371.6957457699295;706.3645090050021;1330.235593851954
ligand28583-0;204.55828267541582;0.3915975587029445;5.625165900506951;167.97711905946505;44.7636479388827;420.793924926894;608.9487799848464;;
ligand28584-0;285.2473728387216;0.6229034662691018;8.319245355789747;217.81594036790588;66.20245105841158;676.3083882383244;1111.5340951998348;684.2886937404438;1112.57818409307
ligand28585-0;192.62673034387572;0.30227939806187104;4.133121896319152;139.97889334505604;32.89033901002706;374.5412758307398;540.8249630707135;380.5210750615243;545.2200285351917
ligand28586-0;345.3045439857184;0.8543607901602683;12.03635498284474;312.59509639132375;95.78226961642527;916.9995969395881;1613.6859574251396;923.0193567424817;1624.6342804756473
ligand28587-0;278.1366481761603;0.6473455553484905;8.488250340178311;221.09049758357114;67.54734999204202;713.3846614703644;1272.3129603422442;674.0142290999108;1238.7460636833791
ligand28588-0;194.87664012432666;0.44057491613865074;5.907174217652366;173.1382802244641;47.00779882221869;338.0103895680516;474.1723442242655;339.35045994989514;475.29122655877944
ligand28589-0;149.02213749907227;0.22844064480059634;3.3640992158765126;124.63300914260819;26.770650962915802;639.5743529595235;1100.787854265746;637.7242357015982;1100.5473862479341
ligand28590-0;293.5049247428543;0.7754903559448378;9.98029434436611;252.08896641360704;79.42065892089765;747.6832063705963;1430.4641266227984;759.0931075718207;1428.9856424548068
ligand28591-0;177.2767877602608;0.3454272269847186;4.726139385919263;151.30390202579844;37.60942225051728;251.21923179234145;331.5104389321852;247.07959812171813;325.71772694619864
ligand28592-0;270.042724234822;0.48283171822586657;7.08820904938547;194.72234088132285;56.4061753939201;648.5226208787815;1082.0653501130655;645.0025484227498;1081.2870259024783
ligand28593-0;199.52578724294492;0.3540579575102497;4.602135728734754;148.9632562698175;36.622632500397906;445.40234493082824;681.8434194349626;444.69240718799125;681.2519059324634
ligand28594-0;222.25523813936542;0.44006825382035036;5.854172654500923;172.16965509292945;46.58602578386121;659.7939120153328;1127.1095071797204;669.555009614377;1130.431590541574
ligand28595-0;203.298165901606;0.42296985650391355;6.2681848647782346;179.72642447585122;49.880630272162975;302.6434038387649;437.78563077208224;308.5218228560152;444.08899182464734
ligand28596-0;353.10495169155195;0.8812430115542303;12.51936922816827;345.9749594529574;99.62597485277732;451.9717812056577;764.273247646325;572.0570499567552;890.8638773774292
ligand28597-0;207.14031945267786;0.36363212821468505;4.60113569924133;148.94432744477075;36.614674518542095;516.4465155932184;821.1970833787184;517.366734643695;823.1845556324805
ligand28598-0;217.7292409607721;0.3787329947819605;5.031148381413417;157.0117018324798;40.03660671653669;386.35065095879054;570.3965717867409;380.9906646935311;565.8315788945946
ligand28599-0;191.14719505747016;0.4251945117405889;5.443160532703882;164.63377495164167;43.31529524112685;425.3417210417463;659.2561408484644;423.4318310553656;652.6201662487599
ligand28600-0;101.1339671856626;0.16495643868803578;1.9380571582546613;92.49435765065026;15.422568836543052;342.57921672631664;500.700986763842;342.55918464322565;500.49711402516266
ligand28601-0;179.4066907798107;0.29918118710398806;3.894114847390945;135.3038457590734;30.988381346490527;383.8529859854465;575.7176872465805;383.902905973084;575.518252891565
ligand28602-0;356.1745784959706;0.9006767144986955;12.555370289931513;353.21821806790393;99.91246219958617;582.8333572310175;1013.7925991530302;;
ligand28603-0;164.17656014316907;0.33934145546030564;4.57513493241232;148.4518711781314;36.407766990291265;329.3316989935057;492.2660316996063;;
ligand28604-0;241.75786089077485;0.6366998229593739;8.117239398118208;213.9433342557055;64.59493872353971;576.5742074188122;966.2044912234842;585.3540565189701;981.3788609320292
ligand28605-0;181.2710079860785;0.2911211796496459;4.230124757181227;141.85616195817582;33.662263250039786;331.23820976360946;473.6954904288824;331.5081512118224;474.57665179066674
ligand28606-0;153.68872055212995;0.26251514163250095;3.9581167349700466;136.56307222214326;31.49769218526182;611.43305893206;1081.7431903880154;618.6933133747372;1089.5769063443818
ligand28607-0;146.7340683773454;0.2251735464032799;2.9690875659742466;116.33267463759339;23.627248129874264;510.27149662000784;811.9927010213466;510.2615462501013;811.6190372003961
ligand28608-0;205.48155310251934;0.3438315318673127;5.228154191617838;160.66695435326386;41.60432914212955;472.85988483681274;739.0003224341268;479.099551808114;747.7044056563137
ligand28609-0;158.62727007250544;0.2585724934774506;3.749110570844544;132.42940218623426;29.834473977399334;297.64071599725617;418.8164346257223;;
ligand28610-0;300.801594742694;0.5461295657845695;8.18424137417758;215.22315243172812;65.1281235078784;845.7363920234714;1447.3524070468795;;
ligand28611-0;278.36863731984624;0.7059029071934402;9.099268360660044;233.25568434705264;72.40967690593665;864.5917052189038;1558.7430540662435;856.9619707364461;1549.2586893995287
ligand28612-0;121.59273125254744;0.17504309541557958;3.014088893178302;117.2962048073572;23.98535731338532;310.3618561379027;441.0449455465978;308.50197741815134;439.19040203602526
ligand28613-0;215.6019575546913;0.4006301248602311;5.938175131948493;173.7046026558702;47.25449625974853;372.0332557534641;552.3591142069764;391.04379734690866;575.5275248820114
ligand28614-0;193.4699880738002;0.4292012206485278;5.554163806473886;166.67422794245513;44.198631227120806;516.2125770887808;824.2933499396794;501.3617175596273;807.8921682852327
ligand28615-0;288.40183351651746;0.6885657379798733;8.888262137547695;228.9896250847589;70.73054273436257;811.8856431109798;1488.167491481824;799.1655271936179;1461.267446061785
ligand28616-0;224.31715819063757;0.47231993104733505;6.626195423423832;186.25886584642183;52.729587776539866;432.99607824034257;668.510381927336;418.4167728625649;646.3461598097231
ligand28617-0;211.451846766961;0.3695548360044726;4.722139267945568;151.2285934793395;37.577590323094064;363.1318639331204;524.1737333316983;359.611841147827;521.3929531662416
ligand28618-0;202.1352628607458;0.337320629891912;4.5241334282477235;147.4841501446575;36.00190991564539;586.2440730218829;968.5904693384097;;
ligand28619-0;156.946367262181;0.2587996179649646;3.616106648219224;129.76465082526428;28.77606239057775;455.47260439218195;750.9326464651199;;
ligand28620-0;209.69382295697275;0.47597139396198285;6.694197428976628;187.50131852080708;53.27073054273436;459.2202870292186;714.9948873568313;459.3796018590174;717.7076722421466
ligand28621-0;215.42364686864948;0.48478265933656356;5.9941767835802064;174.72725616995615;47.7001432436734;477.1030220411326;781.880550702804;464.85278848053116;768.2946903167935
ligand28622-0;207.2579378716553;0.347768356317555;4.721139238452145;151.20976436043537;37.56963234123826;629.1940650761804;1014.4977153098741;630.4041003132886;1016.3929236617602
ligand28623-0;117.28115751029804;0.19697516772269846;2.500073733558645;105.95897462633835;19.894954639503425;235.60948996182628;312.6497490632199;235.53946610797604;312.3446214109353
ligand28624-0;185.76151379775067;0.31512649086843086;4.731139533386379;151.3980199138696;37.64921215979628;497.1241065664763;822.0881160758724;;
ligand28625-0;310.45491350849625;0.8042186917629519;10.709315845071812;269.56872990129403;85.22202769377687;705.9738951311253;1309.5417614567552;635.8546037171998;1213.7284215521265
ligand28626-0;201.51626513383823;0.49085095974655235;6.326186575396795;180.78425521320165;50.342193219799455;697.0546122230135;1249.489379241033;695.7846985290536;1247.3090038130501
ligand28627-0;279.7304183282182;0.5801050596347372;7.826230815531981;208.43261748415543;62.27916600350151;493.5891208443352;826.8315942010985;485.55942770399514;810.962317728915
ligand28628-0;208.88885174987738;0.34906121878494223;4.459131511175199;146.24730556229355;35.484641095018304;543.8240632967094;867.0789486861229;544.214045320649;869.0489451600376
ligand28629-0;200.3560765297532;0.3627585724934774;4.458131481681775;146.2282459191706;35.4766831131625;536.6734351213901;849.2771641469402;531.3934928784812;845.7296452763969
ligand28630-0;169.5717984488737;0.30843505404398064;3.8511135791737363;134.454607503267;30.646188126691072;601.3575783041683;932.986081910864;;
ligand28631-0;184.28150763261883;0.4042641166604547;5.022148115972606;156.84417242024526;39.964984879834475;379.8521042890548;574.8164506846122;380.692065573541;575.3700436896069
ligand28632-0;214.71536679905114;0.38993197912784194;5.158152127078195;159.37060540017447;41.047270412223455;595.4849432928704;942.9518425061278;590.5750441779944;939.4269687752869
ligand28633-0;274.7955924507195;0.4862269381289601;7.382217720451967;200.1475910794466;58.745822059525715;539.2801662972873;851.4249446186633;528.9602399845533;837.1577074711316
ligand28634-0;277.77003675012935;0.49735021431233695;7.41221860525467;200.7035507319232;58.98456151519974;534.4501839018919;845.0669423676493;542.2197776718663;845.8835597541686
ligand28635-0;203.96436637035765;0.3615181233693627;5.42516000182226;164.30244567785175;43.17205156772243;599.994489855948;989.1502283552916;574.1740976974899;963.5580185474248
ligand28636-0;125.5235502021355;0.17401812336936265;3.4051004251068746;125.47582787409885;27.096928219003665;269.42071958098626;370.2554679110235;;
ligand28637-0;273.1221744472;0.7265188222139396;9.779288416187995;247.61744172686687;77.82110456788159;909.8772115578979;1617.4155122184745;904.237268683834;1609.6133097185548
ligand28638-0;206.26183520862807;0.3103044632873649;5.292156079196939;161.8500013090302;42.113639980900835;310.7897829316964;443.7971464388384;312.8996735285005;447.2129088971676
ligand28639-0;265.1005400500489;0.6915474748415952;8.506250871059933;221.44128880842507;67.69059366544644;529.1532388808356;891.5241820187331;542.4333561961283;906.3956231664549
ligand28640-0;171.6491519959778;0.2569243850167723;3.7011091551602178;131.4709243996448;29.452490848320867;379.3515589200439;569.6162644363632;378.89155097102616;569.0290949170325
ligand28641-0;279.94808220824217;0.6250465896384644;8.468249750309843;220.70120084080494;67.388190354926;636.9430879815305;1103.28082771696;600.2527174447373;1066.9255878891042
ligand28642-0;175.03241844752236;0.32103755124860234;4.0371190649505;138.10988548903336;32.12637275187012;524.954192579485;844.497686436261;524.9041460633605;844.5356057431958
ligand28643-0;119.10737479288223;0.1913378214685054;2.7130800156578414;110.75041045137299;21.590004774789115;267.24982618657896;369.0509249145982;267.16978656193646;368.72065943464713
ligand28644-0;144.09774593513433;0.2463951267238166;3.520103816850572;127.82310691583484;28.012096132420815;303.0524000493396;428.14915786375957;307.72202900329853;433.6339887334781
ligand28645-0;262.4634273931406;0.5118803578084234;6.8932032981678955;191.1429465528598;54.85436893203884;478.63086140067037;774.2323073419757;466.16088733678885;768.8540394654873
ligand28646-0;279.70350154286433;0.5536363212821469;7.437219342590257;201.16722653998627;59.183511061594785;605.4254139174564;973.4667835540305;575.014891135136;941.7271852950397
ligand28647-0;219.2226273812965;0.5389780562802833;6.982205923082583;192.7750534237701;55.56262931720516;673.7135053685766;1213.8856256496142;681.5637068912725;1218.0009194683964
ligand28648-0;172.66516743914192;0.2794504752143123;4.454131363708082;146.15199771640644;35.444851185739296;478.0378609857704;759.3376300090642;;
ligand28649-0;137.45454389838395;0.21128983414088706;3.1800937890865963;120.80916092502017;25.306382301448355;340.88061579955126;507.412313325127;339.51034427961633;504.88959092091574
