name;L*-energy;L*-dipole_moment;L*-homo_lumo_gap;L*-metal_bound_homo_energy;L*-metal_bound_homo_s;L*-metal_bound_homo_p;L*-metal_bound_homo_d;L*-metal_bound_homo_f;L*-metal_bound_lumo_energy;L*-metal_bound_lumo_s;L*-metal_bound_lumo_p;L*-metal_bound_lumo_d;L*-metal_bound_lumo_f;L_free-energy;L_free-dipole_moment;L_free-homo_lumo_gap;L_free-metal_bound_homo_energy;L_free-metal_bound_homo_s;L_free-metal_bound_homo_p;L_free-metal_bound_homo_d;L_free-metal_bound_homo_f;L_free-metal_bound_lumo_energy;L_free-metal_bound_lumo_s;L_free-metal_bound_lumo_p;L_free-metal_bound_lumo_d;L_free-metal_bound_lumo_f;L_free-polarisability;L_free-molar_volume;L_free-largest_frequency;L_free-I1/I3;L_free-I2/I3
ligand35519-0;-1199.01879044;12.7196;0.0799999999999999;0.133;0.0961457009741634;0.8761118170266836;0.0277424819991529;0.0;0.225;1.1114443931702815;-0.1114443931702815;0.0;0.0;-1199.07234373;11.4324;0.1169999999999999;0.095;-0.0046685340802987;0.9708475982985788;0.03382093578172;0.0;0.212;0.8332930659579608;0.1667069340420391;0.0;0.0;322.77;3394.761;3078.7429;;
ligand35521-0;-1225.92130644;3.7814;0.101;-0.08;0.0;1.0;0.0;0.0;0.021;0.0;1.0;0.0;0.0;-1225.92625716;3.782;0.106;-0.084;0.0;0.988911066755378;0.0110889332446218;0.0;0.022;0.0;1.0;0.0;0.0;369.14;2812.833;3137.7447;;
ligand35522-0;-1283.7358994;4.4907;0.192;-0.225;0.1132799649084329;0.8867200350915672;0.0;0.0;-0.033;0.0;0.9285181634174922;0.0714818365825077;0.0;-1283.7398606;4.4617;0.1969999999999999;-0.239;0.1033414472228369;0.896658552777163;0.0;0.0;-0.042;0.0;0.98051804294886;0.0194819570511401;0.0;262.17;2930.712;3190.7442;;
ligand35523-0;-654.578083892;6.0655;0.047;0.208;-0.000785810507409;0.9889986528962732;0.011787157611136;0.0;0.255;0.9866542520173804;0.0133457479826194;0.0;0.0;-654.595561959;3.8244;0.079;0.184;-0.0018867924528301;0.9899001109877912;0.0119866814650388;0.0;0.269;0.0493324281511654;0.9391264992079656;0.0115410726408689;0.0;233.21;1976.349;3063.4287;0.2214813422960011;0.8498145115302916
ligand35525-0;-1640.20930202;4.0126;0.151;-0.201;0.0838815789473684;0.8898026315789473;0.0263157894736842;0.0;-0.05;0.0112673033587294;0.9463461744822408;0.0423865221590299;0.0;-1640.21251048;4.059;0.155;-0.211;0.0632460973370064;0.91678145087236;0.0199724517906336;0.0;-0.056;0.0141745710327187;0.945752957476287;0.0400724714909943;0.0;292.05;3379.179;3152.1871;;
ligand35526-0;-2226.08592247;4.6908;0.139;-0.163;0.142289156626506;0.8446987951807229;0.013012048192771;0.0;-0.024;0.0;0.9426377055082203;0.0573622944917796;0.0;-2226.0955504;4.6556;0.162;-0.186;0.1477617372315904;0.8522382627684095;0.0;0.0;-0.024;0.011487842962302;0.937653357126924;0.050858799910774;0.0;464.74;4212.646;3357.2973;;
ligand35527-0;-786.148641131;2.7896;0.215;-0.192;0.3665433978681749;0.633456602131825;0.0;0.0;0.023;0.0884744660088908;0.8755285698796487;0.0359969641114604;0.0;-786.169261593;3.3652;0.244;-0.222;0.3947685235854219;0.6052314764145781;0.0;0.0;0.022;0.2589335411332517;0.7111210063453189;0.0299454525214293;0.0;175.71;2486.407;3205.488;0.418958716597982;0.7742302553179244
ligand35528-0;-823.982271928;1.2587;0.178;-0.213;0.029795616843142;0.970204383156858;0.0;0.0;-0.035;0.0430037109801353;0.9039511023793932;0.0530451866404715;0.0;-824.03023415;1.2246;0.192;-0.227;0.3088970343218927;0.6686660002221483;0.0224369654559591;0.0;-0.035;0.0204713953745712;0.9146840765740843;0.0648445280513444;0.0;200.79;2234.498;3138.0857;0.6533450924821299;0.9297921839082972
ligand35529-0;-510.683057869;7.103;0.1669999999999999;0.125;0.0;0.9878714372346876;0.0121285627653123;0.0;0.292;1.112139080927206;-0.1231191541276942;0.010980073200488;0.0;-510.758835719;1.9321;0.256;0.071;0.0051350518640238;0.97196261682243;0.0229023313135462;0.0;0.327;0.8895016127354074;0.0911455623764436;0.0193528248881489;0.0;65.43;1057.526;3396.3954;0.215298851538233;0.8319878275879679
ligand35530-0;-491.487604077;8.5682;0.164;-0.024;-0.0115506490851477;0.9884493509148524;0.0231012981702954;0.0;0.14;1.0485040334933116;-0.0485040334933115;0.0;0.0;-491.569028531;3.5646;0.254;-0.1;0.0560304871768462;0.9157482747965804;0.0282212380265732;0.0;0.154;0.8086496577473553;0.1595104750051856;0.031839867247459;0.0;68.89;1158.737;3440.6978;0.3450758371250507;0.7997042366302658
ligand35533-0;-931.207094818;19.4687;0.112;0.082;0.0;0.9778686073173164;0.0221313926826836;0.0;0.225;-0.0120430565917084;0.9317915378876692;0.0802515187040392;0.0;-931.284183419;13.4676;0.1669999999999999;0.043;0.0;0.9675428328189848;0.0324571671810152;0.0;0.252;0.0857853294653957;0.8459386655615417;0.0682760049730625;0.0;159.78;2293.95;3702.9777;0.2854768529399194;0.9451387007046944
ligand35534-0;-1651.16101192;1.2017;0.152;-0.177;0.2165838656257393;0.7834161343742607;0.0;0.0;-0.025;0.0;0.956324248777079;0.043675751222921;0.0;-1651.19436876;1.5391;0.183;-0.213;0.1988571428571428;0.801142857142857;0.0;0.0;-0.03;-0.0121247113163972;0.9325635103926097;0.0795612009237875;0.0;325.9;3627.603;3169.2635;;
ligand35535-0;-2976.02664113;1.5609;0.202;-0.26;0.0;1.0;0.0;0.0;-0.058;0.0;0.9412333476579288;0.0587666523420713;0.0;-2976.02751631;1.5941;0.203;-0.261;0.0;1.0;0.0;0.0;-0.058;0.0;0.9413344794240894;0.0586655205759106;0.0;126.54;1623.265;3138.5562;0.1936507922285098;0.8105806558270425
ligand35536-0;-2841.82227585;7.1469;0.094;0.121;0.0;0.9857039262405468;0.014296073759453;0.0;0.215;0.0;0.927193528313628;0.0728064716863721;0.0;-2841.83225157;3.3106;0.062;0.067;0.0;0.9867292772560228;0.0132707227439771;0.0;0.129;0.0;1.0;0.0;0.0;245.97;1648.9;3333.9221;0.1387614501633285;0.9825167409656168
ligand35537-0;-825.785143152;7.6644;0.079;0.002;0.2807647618041617;0.6835322699904933;0.0357029682053448;0.0;0.081;0.0;1.0;0.0;0.0;-825.795936897;6.7485;0.097;-0.02;0.2741137675185491;0.6883759274525969;0.037510305028854;0.0;0.077;0.0;0.975456684971422;0.0245433150285778;0.0;276.64;2946.613;3122.0684;;
ligand35538-0;-1642.34822299;18.2698;0.082;-0.057;0.0;0.973757497857755;0.026242502142245;0.0;0.025;0.0141034251175285;0.9141481978956796;0.071748376986792;0.0;-1642.3766097;13.0744;0.099;-0.066;0.0;0.977182332007536;0.0228176679924638;0.0;0.033;0.015180915420614;0.914279191873074;0.070539892706312;0.0;383.75;3584.022;3128.19;;
ligand35539-0;-1415.95183287;6.634;0.111;-0.041;0.0287516032492518;0.9318084651560496;0.0394399315946985;0.0;0.07;0.0;0.9620581558750404;0.0379418441249594;0.0;-1415.97964579;4.3205;0.126;-0.052;0.0;0.9305526148634342;0.0694473851365657;0.0;0.074;0.0;0.973221117061974;0.026778882938026;0.0;263.55;2957.011;3132.4258;;
