name;logp;n_aliphatic_rings;n_aromatic_rings;n_saturated_rings;n_rotatable_bonds
ligand283-0;0.9654;0;1;0;1
ligand284-0;3.8268999999999997;0;2;0;5
ligand285-0;-0.2956000000000001;0;0;0;2
ligand286-0;5.876400000000005;1;4;0;5
ligand287-0;0.48039999999999994;0;1;0;0
ligand288-0;5.610970000000004;0;3;0;3
ligand289-0;1.5988399999999996;0;2;0;3
ligand290-0;5.009700000000003;0;2;0;8
ligand291-0;4.370060000000004;0;3;0;6
ligand292-0;5.026780000000003;0;3;0;5
ligand293-0;2.48409;2;2;2;4
ligand294-0;-0.44710000000000005;0;0;0;0
ligand295-0;9.269490000000001;0;2;0;18
ligand296-0;1.0352000000000001;1;0;0;0
ligand297-0;5.209700000000005;0;4;0;6
ligand298-0;7.255190000000003;1;0;0;4
ligand299-0;3.9071000000000025;2;2;0;5
ligand300-0;-0.8465;0;1;0;3
ligand301-0;1.9548000000000003;0;0;0;11
ligand302-0;0.42439000000000004;0;0;0;2
ligand303-0;2.1901399999999995;0;2;0;3
ligand304-0;4.433380000000002;3;0;0;6
ligand305-0;3.512200000000001;0;2;0;5
ligand306-0;7.679100000000009;1;6;0;11
ligand307-0;8.650600000000003;0;5;0;14
ligand308-0;1.6433900000000001;1;0;0;10
ligand309-0;5.8118000000000025;0;2;0;3
ligand310-0;1.63309;0;1;0;2
ligand311-0;2.676710000000001;1;1;0;4
ligand312-0;2.4210900000000004;0;0;0;2
ligand313-0;-0.30821;0;0;0;4
ligand314-0;2.9037800000000002;0;0;0;8
ligand314-1;2.9037800000000002;0;0;0;8
ligand315-0;3.0034;0;2;0;12
ligand316-0;0.66498;0;0;0;0
ligand317-0;2.2028;0;3;0;3
ligand318-0;4.10839;1;0;0;0
ligand319-0;2.537470000000001;1;0;1;2
ligand320-0;0.9425999999999999;0;1;0;2
ligand321-0;3.9078900000000028;0;3;0;7
ligand322-0;1.3925000000000003;0;1;0;3
ligand323-0;5.376900000000004;0;3;0;5
ligand324-0;4.425400000000002;0;1;0;0
ligand325-0;2.6837800000000014;2;0;0;17
ligand326-0;1.7885199999999999;0;3;0;9
ligand327-0;3.1584900000000014;2;1;0;1
ligand328-0;3.006900000000001;0;3;0;2
ligand329-0;-0.032600000000000004;0;0;0;0
ligand330-0;7.174600000000004;2;2;2;4
ligand331-0;2.1222000000000003;0;0;0;0
ligand332-0;8.635679999999999;0;4;0;7
ligand333-0;3.227190000000001;1;1;0;6
ligand334-0;0.91109;0;0;0;3
ligand335-0;1.0980400000000001;0;0;0;7
ligand336-0;2.1326899999999998;1;0;0;0
ligand337-0;1.1462299999999999;1;1;1;3
ligand338-0;4.056500000000002;0;3;0;9
ligand339-0;1.5522900000000002;0;0;0;6
ligand340-0;-0.5452000000000001;0;0;0;5
ligand341-0;2.8135000000000012;0;2;0;2
ligand342-0;3.831780000000003;2;2;0;7
ligand343-0;1.8323999999999998;0;1;0;8
ligand344-0;0.7140899999999997;2;0;2;12
ligand345-0;-0.7182000000000001;0;0;0;0
ligand346-0;3.9790800000000024;2;1;1;4
ligand347-0;2.4692800000000004;1;2;0;2
ligand348-0;3.1054200000000005;0;2;0;2
ligand349-0;6.248210000000006;1;2;0;9
ligand350-0;0.04670000000000002;0;0;0;0
ligand351-0;3.8351900000000034;0;2;0;8
ligand352-0;4.863800000000004;0;0;0;0
ligand353-0;6.668120000000005;0;3;0;8
ligand354-0;1.0678;0;0;0;0
ligand355-0;3.2311900000000007;1;2;0;5
ligand356-0;2.6317200000000005;0;2;0;7
ligand357-0;-0.0013999999999999568;0;0;0;2
ligand358-0;2.5221800000000023;2;2;2;9
ligand359-0;2.5342900000000004;1;2;0;3
ligand360-0;3.4862900000000003;1;0;1;6
ligand361-0;0.09489999999999998;0;0;0;0
ligand362-0;0.5073999999999999;1;0;1;4
ligand363-0;1.6221999999999996;1;1;1;3
ligand364-0;0.1805;0;1;0;1
ligand365-0;0.7619999999999998;0;1;0;4
ligand366-0;1.29806;0;1;0;4
ligand367-0;2.746490000000001;0;2;0;6
ligand368-0;1.3207999999999998;1;2;0;3
ligand369-0;2.7830000000000004;0;3;0;0
ligand370-0;2.8609000000000018;0;2;0;6
ligand371-0;0.8287999999999999;0;3;0;3
ligand372-0;2.18309;2;0;0;0
ligand372-1;2.18309;2;0;0;0
ligand373-0;7.807000000000007;0;5;0;8
ligand374-0;7.0760000000000085;0;0;0;7
ligand375-0;2.2606;0;0;0;8
ligand376-0;4.482200000000002;0;2;0;6
ligand377-0;2.412700000000002;1;2;1;4
ligand378-0;11.39537999999999;0;4;0;7
ligand379-0;2.5819;3;1;0;10
ligand380-0;1.8687900000000002;0;1;0;1
ligand381-0;4.4221800000000036;2;2;0;8
ligand382-0;6.168080000000002;1;2;0;3
ligand383-0;2.9385;0;1;0;0
ligand384-0;1.6008799999999999;2;0;1;0
ligand385-0;-1.4516000000000002;0;0;0;0
ligand386-0;0.7968000000000001;1;0;1;0
ligand387-0;3.6572900000000015;1;0;0;6
ligand388-0;2.6793199999999997;0;3;0;9
ligand389-0;4.4795900000000035;1;2;0;6
ligand390-0;7.275900000000005;0;2;0;8
ligand391-0;2.05889;0;1;0;4
ligand392-0;2.1996;1;0;1;0
ligand393-0;2.7072900000000013;2;1;0;6
ligand394-0;3.998990000000002;1;2;0;2
ligand395-0;1.2997999999999998;0;0;0;4
ligand396-0;4.454080000000002;2;2;0;2
ligand397-0;2.7015200000000004;0;3;0;12
ligand398-0;0.3735;0;1;0;3
ligand399-0;3.6336000000000013;0;1;0;6
ligand400-0;5.805280000000004;0;2;0;9
ligand401-0;2.03008;0;2;0;10
ligand402-0;7.534800000000005;0;3;0;12
ligand403-0;5.357200000000003;0;4;0;6
ligand404-0;1.5143799999999998;2;0;0;2
ligand405-0;1.1524999999999999;0;0;0;6
ligand406-0;0.41758999999999996;0;0;0;2
ligand407-0;1.9585999999999997;0;3;0;2
ligand408-0;1.9585999999999997;0;3;0;2
ligand408-1;1.9585999999999997;0;3;0;2
ligand409-0;4.100790000000003;0;3;0;3
ligand410-0;0.84039;0;0;0;1
ligand411-0;1.93541;0;1;0;2
ligand412-0;1.4792999999999998;0;1;0;2
ligand413-0;1.94927;1;0;0;0
ligand414-0;7.251690000000003;0;2;0;4
ligand415-0;2.3655;0;3;0;1
ligand416-0;1.48859;1;2;0;2
ligand417-0;5.487900000000003;0;2;0;3
ligand418-0;-0.15180000000000002;1;0;0;3
ligand419-0;1.8800999999999999;0;2;0;7
ligand420-0;1.0555999999999996;0;1;0;3
ligand421-0;7.059600000000008;0;5;0;11
ligand422-0;2.2429999999999994;0;1;0;0
ligand423-0;6.9536400000000045;0;5;0;4
ligand424-0;2.3654;1;0;1;4
ligand425-0;3.0705899999999993;2;2;1;14
ligand426-0;1.5186899999999999;1;1;0;3
ligand427-0;0.6429;0;0;0;4
ligand428-0;2.5961800000000004;0;1;0;12
ligand429-0;0.4200999999999999;0;1;0;1
ligand430-0;7.319400000000004;0;1;0;0
ligand431-0;5.519490000000005;2;2;0;7
ligand432-0;3.235500000000001;0;3;0;2
ligand433-0;5.5838000000000045;0;0;0;15
ligand434-0;0.09637;0;0;0;0
ligand435-0;2.7736;0;2;0;3
ligand436-0;-0.1644;0;0;0;2
ligand437-0;8.148190000000005;1;0;0;4
ligand438-0;0.6545799999999999;0;0;0;1
ligand439-0;2.7457000000000003;0;2;0;4
ligand440-0;3.2375800000000012;0;2;0;10
ligand441-0;8.763390000000006;2;5;0;7
ligand442-0;-1.4717999999999998;2;0;2;0
ligand443-0;5.305100000000004;1;0;1;2
ligand444-0;5.335900000000007;0;4;0;12
ligand445-0;2.6878;0;1;0;1
ligand446-0;4.2855;0;3;0;4
ligand447-0;3.6024000000000003;0;0;0;8
ligand448-0;8.089000000000002;0;3;0;4
ligand449-0;3.4073900000000013;1;1;0;3
ligand450-0;4.175390000000002;1;2;0;1
ligand451-0;0.11599999999999999;0;0;0;1
ligand452-0;0.2635000000000002;0;1;0;2
ligand453-0;0.7304999999999999;0;0;0;0
ligand454-0;3.2825000000000015;0;2;0;2
ligand455-0;1.8882900000000002;1;0;0;6
ligand456-0;0.85887;0;0;0;2
ligand456-1;0.85887;0;0;0;2
ligand457-0;2.3094400000000004;0;1;0;6
ligand458-0;3.6366000000000014;0;2;0;0
ligand459-0;3.2170999999999994;0;2;0;1
ligand460-0;9.845399999999998;1;2;1;16
ligand461-0;3.522200000000004;0;3;0;21
ligand462-0;2.5813900000000007;1;1;0;2
ligand463-0;2.4694000000000003;0;0;0;7
ligand464-0;0.45028999999999997;0;0;0;0
ligand465-0;6.948600000000006;1;4;1;10
ligand466-0;1.97889;3;0;0;0
ligand467-0;2.4472400000000007;0;1;0;2
ligand468-0;1.4076000000000002;0;0;0;6
ligand469-0;1.644;0;1;0;2
ligand470-0;7.168140000000008;0;2;0;19
ligand471-0;2.51593;0;3;0;12
ligand472-0;0.8980999999999999;0;0;0;9
ligand473-0;4.870000000000002;0;5;0;2
ligand474-0;2.9761000000000015;5;1;4;2
ligand475-0;1.4305700000000001;0;0;0;0
ligand476-0;3.2418000000000022;0;2;0;9
ligand477-0;1.6030799999999998;0;2;0;10
ligand478-0;7.312490000000005;1;3;0;10
ligand479-0;7.6817200000000065;0;3;0;12
ligand480-0;-1.9667999999999994;0;0;0;4
ligand481-0;2.5085900000000008;1;1;0;3
ligand482-0;0.053200000000000136;0;1;0;2
ligand483-0;2.550790000000001;0;2;0;5
ligand484-0;-0.2563200000000002;1;0;1;3
ligand485-0;-0.06200000000000061;0;3;0;3
ligand486-0;6.9002900000000045;1;4;0;6
ligand487-0;2.61186;0;1;0;3
ligand488-0;5.620080000000004;0;2;0;11
ligand489-0;5.372200000000005;8;1;8;10
ligand490-0;1.3655700000000002;1;0;0;0
ligand491-0;6.645690000000006;1;0;0;2
ligand492-0;5.715490000000002;1;0;0;7
ligand493-0;-0.10650000000000004;0;0;0;2
ligand494-0;-0.14960000000000007;0;0;0;2
ligand495-0;2.5952200000000003;0;4;0;3
ligand496-0;1.5966199999999997;0;1;0;2
ligand497-0;1.0337200000000002;0;1;0;2
ligand498-0;5.421790000000005;1;1;0;10
ligand499-0;0.6522999999999999;0;1;0;1
ligand500-0;4.222890000000003;1;3;0;5
ligand501-0;4.110100000000002;0;1;0;8
ligand502-0;0.5096900000000001;1;1;0;4
ligand503-0;1.3452099999999998;0;1;0;3
ligand504-0;0.9260999999999999;0;2;0;2
ligand505-0;4.935830000000004;0;2;0;11
ligand506-0;1.30989;0;0;0;2
ligand507-0;5.284330000000004;0;1;0;11
ligand508-0;0.10959999999999992;0;0;0;7
ligand509-0;0.17567;2;0;2;5
ligand510-0;5.173400000000004;0;0;0;18
ligand511-0;2.2538400000000003;0;2;0;5
ligand512-0;0.9924999999999999;0;1;0;5
ligand513-0;2.8696900000000003;0;2;0;6
ligand514-0;0.8460000000000001;0;1;0;1
ligand515-0;1.83489;0;1;0;4
ligand516-0;0.6132900000000001;1;0;0;10
ligand517-0;8.239400000000005;0;1;0;4
ligand518-0;2.4686900000000005;2;1;0;1
ligand519-0;2.9403000000000015;0;3;0;6
ligand520-0;3.3930000000000016;0;0;0;0
ligand521-0;4.406200000000002;0;3;0;6
ligand522-0;-0.03500000000000003;0;0;0;2
ligand523-0;1.3965899999999993;1;0;0;5
ligand524-0;0.09830000000000001;0;0;0;0
ligand525-0;8.069070000000007;2;4;0;8
ligand526-0;3.285800000000002;0;1;0;4
ligand527-0;6.466400000000005;3;0;3;3
ligand528-0;0.74298;0;0;0;4
ligand528-1;0.74298;0;0;0;4
ligand529-0;2.904300000000001;1;1;1;11
ligand530-0;2.4266000000000005;0;1;0;2
ligand531-0;5.8575900000000045;1;4;0;2
ligand532-0;2.2161;1;0;1;3
ligand533-0;2.8310900000000014;1;2;0;5
ligand534-0;6.754000000000009;0;4;0;12
ligand535-0;5.9046000000000065;0;5;0;7
ligand536-0;3.6448000000000027;0;3;0;4
ligand537-0;1.69844;0;1;0;2
ligand538-0;-1.2700000000000005;1;0;1;10
ligand539-0;1.05328;2;1;0;3
ligand540-0;4.612500000000002;0;2;0;3
ligand541-0;5.600980000000003;3;0;0;8
ligand542-0;4.246200000000003;1;3;0;7
ligand543-0;-0.23259999999999992;0;0;0;6
ligand544-0;1.4727999999999999;1;0;1;6
ligand545-0;2.183039999999999;0;2;0;6
ligand546-0;2.2512600000000003;0;1;0;4
ligand547-0;1.70679;1;0;0;1
ligand548-0;2.9991900000000014;1;1;0;1
ligand549-0;6.009460000000003;0;6;0;9
ligand550-0;-0.4789;1;0;1;0
ligand551-0;6.174000000000007;0;4;0;13
ligand552-0;7.691390000000007;1;0;0;6
ligand553-0;5.1022900000000035;1;1;0;3
ligand554-0;1.3208000000000002;0;1;0;1
ligand555-0;3.821600000000002;1;0;1;11
ligand556-0;2.1197;2;0;2;3
ligand557-0;3.24604;0;3;0;6
ligand558-0;1.42858;3;0;0;0
ligand559-0;2.3833;1;0;1;3
ligand560-0;-1.01936;0;0;0;2
ligand561-0;9.16338;2;3;0;16
ligand562-0;4.319400000000003;2;0;0;6
ligand562-1;4.319400000000003;2;0;0;6
ligand563-0;1.1862;0;1;0;2
ligand564-0;2.8084000000000007;0;2;0;2
ligand565-0;2.2688999999999995;0;2;0;1
ligand566-0;1.3703;1;0;1;4
ligand567-0;1.9953999999999998;1;0;1;4
ligand568-0;1.7920900000000002;1;0;0;5
ligand569-0;1.82701;2;1;0;2
ligand570-0;4.075290000000002;2;2;0;4
ligand571-0;-0.8939100000000004;1;2;0;5
ligand572-0;2.61186;0;1;0;3
ligand573-0;2.6124899999999998;0;0;0;1
ligand574-0;3.3690900000000017;1;0;0;2
ligand575-0;6.5877900000000045;1;0;0;16
ligand576-0;0.8944799999999999;1;0;0;3
ligand577-0;2.4061;1;0;1;0
ligand578-0;1.62699;0;1;0;1
ligand579-0;0.04139999999999988;0;0;0;11
ligand580-0;2.2007000000000003;1;0;1;1
ligand581-0;0.50279;0;0;0;14
ligand582-0;3.7397800000000005;0;1;0;6
ligand583-0;7.078200000000007;0;3;0;10
ligand584-0;1.3416;0;2;0;2
ligand585-0;1.9538000000000002;0;0;0;3
ligand586-0;4.630100000000001;1;3;1;10
ligand587-0;3.6029000000000018;0;2;0;6
ligand588-0;1.7741999999999998;0;2;0;2
ligand589-0;0.16010000000000002;4;0;4;0
ligand590-0;5.797720000000002;0;3;0;6
ligand591-0;7.228240000000006;0;3;0;11
ligand592-0;5.343060000000004;1;2;0;10
ligand593-0;3.6325799999999995;2;1;0;1
ligand594-0;4.125000000000001;0;3;0;0
ligand595-0;3.1854000000000013;0;2;0;5
