Unnamed: 0;name;stoichiometry;occurrence;parent_metal_occurrences;metal_bond_node_idx_groups;smiles;smiles_metal_bond_node_idx_groups;weisfeiler_lehman_graph_hash;stable_occurrence
29272;ligand29029-0;C6H7NO2;1;{'Zn': ['GAWHIW-subgraph-0', 'GAWHIW-subgraph-1']};{'GAWHIW-subgraph-0': [[15]], 'GAWHIW-subgraph-1': [[15]]};C([H])([H])([H])Oc1c(c([H])[n+](c(c1[H])[H])[O-])[H];[[14]];4fa32f3a8d883c30e468c09dc45db796;GAWHIW-subgraph-1
29273;ligand29030-0;C12H10ClN2O2;1;{'Ru': ['NAGHAH-subgraph-1']};{'NAGHAH-subgraph-1': [[8], [22]]};N1(c2c([H])c([H])c(c(c2[H])[H])[H])N=C([C](C1=O)C(=O)C([H])([H])Cl)C([H])([H])[H];[[16], [18]];718c53e7ce0a99628e2c1d2bafcbf48d;NAGHAH-subgraph-1
29274;ligand29031-0;C20H22N2O2;1;{'Pd': ['MABTOA-subgraph-0']};{'MABTOA-subgraph-0': [[0], [10], [23], [37]]};[O]c1c(c(c(c(c1C([H])([H])[H])[H])[H])[H])/C(=N/C(C([H])([H])/N=C(\[H])/c1c(c(c(c(c1[O])C([H])([H])[H])[H])[H])[H])(C([H])([H])[H])C([H])([H])[H])/[H];[[0], [15], [20], [29]];e330800fb1639a47aa7cef015d612c30;MABTOA-subgraph-0
29275;ligand29032-0;C20H19OP;1;{'Rh': ['EDIHEG-subgraph-1']};{'EDIHEG-subgraph-1': [[0]]};P(C([H])([H])C(Oc1c([H])c([H])c(c(c1[H])[H])[H])([H])[H])(c1c([H])c(c(c(c1[H])[H])[H])[H])c1c([H])c([H])c(c(c1[H])[H])[H];[[0]];ab702d5af18bd0f16598820f266406ed;EDIHEG-subgraph-1
29276;ligand29033-0;C12H9F5NO2;1;{'Ti': ['YEJHIG-subgraph-0', 'YEJHIG-subgraph-1']};{'YEJHIG-subgraph-0': [[0], [11]], 'YEJHIG-subgraph-1': [[0], [7]]};O=C(OC([H])([H])C([H])([H])[H])[C](/C(=N/c1c(c(c(c(c1F)F)F)F)F)/C([H])([H])[H])[H];[[0], [12]];12501bd88fb12de7b28b993671fe86b5;YEJHIG-subgraph-1
29277;ligand29034-0;C23H24NP;1;{'Pd': ['PAGWEB-subgraph-2']};{'PAGWEB-subgraph-2': [[0], [13]]};P(c1c([H])c([H])c(c(c1N1C([H])([H])C(C(C(C1([H])[H])([H])[H])([H])[H])([H])[H])[H])[H])(c1c([H])c([H])c(c(c1[H])[H])[H])c1c([H])c([H])c(c(c1[H])[H])[H];[[0], [9]];56047458fa22b6f89048a530186aaff0;PAGWEB-subgraph-2
29278;ligand29035-0;C31H36N3O;1;{'Pd': ['COCHIO-subgraph-1']};{'COCHIO-subgraph-1': [[4], [15], [39]]};O1C(=N[C@](C1([H])[H])([H])C([H])(C([H])([H])[H])C([H])([H])[H])c1c(c(c(c(c1[N]c1c(c([H])c(c(c1/C(=N/c1c(c([H])c(c(c1C(C([H])([H])[H])([H])C([H])([H])[H])[H])[H])C(C([H])([H])[H])(C([H])([H])[H])[H])/[H])[H])[H])[H])[H])[H])[H])[H];[[2], [24], [33]];42acae4e6e472e7b59cf8ca092177293;COCHIO-subgraph-1
29279;ligand29036-0;C13H9;1;{'Mo': ['MIZJOY-subgraph-0']};{'MIZJOY-subgraph-0': [[0, 2, 3]]};C1(=C([H])[C]2C(=C1[H])C(=c1c(=C2[H])c([H])c(c(c1[H])[H])[H])[H])[H];[[0, 1, 5]];aedacb04429b6f30889dbe05196c49f2;MIZJOY-subgraph-0
29280;ligand29037-0;C9H24N4;1;{'Zn': ['SAFCIP-subgraph-1']};{'SAFCIP-subgraph-1': [[0], [12], [21], [26]]};N([H])(C([H])([H])[H])C([H])([H])C([H])([H])N(C(C(N([H])C([H])([H])[H])([H])[H])([H])[H])C(C([H])([H])N(C([H])([H])[H])[H])([H])[H];[[0], [12], [15], [29]];721025205395df7ea1423b255efb183b;SAFCIP-subgraph-1
29281;ligand29038-0;C16H16N4O;1;{'Pd': ['PAFPIY-subgraph-2']};{'PAFPIY-subgraph-2': [[12], [28]]};O([H])C([H])([C@@](C([H])([H])c1c([H])c([H])c(c(c1[H])[H])[H])([H])N1[C]N(C(=C1[H])[H])c1nc(c(c(n1)[H])[H])[H])[H];[[21], [28]];2e33c6f236eec3b5eead152df1700b52;PAFPIY-subgraph-2
